,0,1,2
256,BX1,117300,2014-08-08 20:31:09
257,BX1,120900,2014-08-08 20:31:11
258,BX1,122400,2014-08-08 20:31:22
259,BX1,117900,2014-08-08 20:31:28
260,BX1,122400,2014-08-08 20:31:31
261,BX1,121000,2014-08-08 20:31:37
262,BX1,117300,2014-08-08 20:31:40
263,BX1,120900,2014-08-08 20:31:42
264,BX1,117300,2014-08-08 20:32:12
265,BX1,120900,2014-08-08 20:32:14
266,BX1,122400,2014-08-08 20:32:28
267,BX1,117900,2014-08-08 20:32:31
268,BX1,122400,2014-08-08 20:32:34
269,BX1,121000,2014-08-08 20:32:40
270,BX1,122400,2014-08-08 20:32:59
271,BX1,117900,2014-08-08 20:33:02
272,BX1,122400,2014-08-08 20:33:06
273,BX1,121000,2014-08-08 20:33:12
274,BX1,120900,2014-08-08 20:33:16
275,BX1,117300,2014-08-08 20:33:17
276,BX1,122400,2014-08-08 20:33:30
277,BX1,117900,2014-08-08 20:33:34
278,BX1,122400,2014-08-08 20:33:38
279,BX1,117900,2014-08-08 20:34:05
280,BX1,122400,2014-08-08 20:34:10
281,BX1,122400,2014-08-08 20:34:12
282,BX1,121000,2014-08-08 20:34:15
283,BX1,120900,2014-08-08 20:34:18
284,BX1,117300,2014-08-08 20:34:24
285,BX1,117900,2014-08-08 20:35:09
286,BX1,122400,2014-08-08 20:35:13
287,BX1,122400,2014-08-08 20:35:16
288,BX1,121000,2014-08-08 20:35:17
289,BX1,120900,2014-08-08 20:35:22
290,BX1,117300,2014-08-08 20:35:30
291,BX1,117300,2014-08-08 20:36:02
292,BX1,117900,2014-08-08 20:36:12
293,BX1,122400,2014-08-08 20:36:17
294,BX1,121000,2014-08-08 20:36:20
295,BX1,122400,2014-08-08 20:36:21
296,BX1,120900,2014-08-08 20:36:25
297,BX1,122400,2014-08-08 20:36:49
298,BX1,121000,2014-08-08 20:36:52
299,BX1,122400,2014-08-08 20:36:52
300,BX1,120900,2014-08-08 20:36:58
301,BX1,117300,2014-08-08 20:37:05
302,BX1,117900,2014-08-08 20:37:14
303,BX1,122400,2014-08-08 20:37:22
304,BX1,117900,2014-08-08 20:37:46
305,BX1,122400,2014-08-08 20:37:53
306,BX1,121000,2014-08-08 20:37:55
307,BX1,122400,2014-08-08 20:37:56
308,BX1,120900,2014-08-08 20:38:00
309,BX1,117300,2014-08-08 20:38:08
310,BX1,117300,2014-08-08 20:38:40
311,BX1,117900,2014-08-08 20:38:48
312,BX1,122400,2014-08-08 20:38:56
313,BX1,121000,2014-08-08 20:38:58
314,BX1,122400,2014-08-08 20:38:58
315,BX1,120900,2014-08-08 20:39:03
316,BX1,117300,2014-08-08 20:39:12
317,BX1,120900,2014-08-08 20:39:34
318,BX1,117300,2014-08-08 20:39:50
319,BX1,117900,2014-08-08 20:39:52
320,BX1,122400,2014-08-08 20:39:59
321,BX1,122400,2014-08-08 20:40:01
322,BX1,121000,2014-08-08 20:40:02
323,BX1,120900,2014-08-08 20:40:06
324,BX1,120900,2014-08-08 20:40:39
325,BX1,117300,2014-08-08 20:40:53
326,BX1,117900,2014-08-08 20:40:55
327,BX1,122400,2014-08-08 20:41:03
328,BX1,121000,2014-08-08 20:41:05
