,Home team,starttime,endtime,startwindow_start,startwindow_end,endwindow_start,endwindow_end
116,NYA,2014-08-19 19:05:00,2014-08-19 22:01:00,2014-08-19 17:35:00,2014-08-19 19:35:00,2014-08-19 21:31:00,2014-08-19 23:31:00
117,NYA,2014-08-20 19:05:00,2014-08-20 22:01:00,2014-08-20 17:35:00,2014-08-20 19:35:00,2014-08-20 21:31:00,2014-08-20 23:31:00
118,NYA,2014-08-21 13:05:00,2014-08-21 16:01:00,2014-08-21 11:35:00,2014-08-21 13:35:00,2014-08-21 15:31:00,2014-08-21 17:31:00
119,NYA,2014-08-22 19:05:00,2014-08-22 22:01:00,2014-08-22 17:35:00,2014-08-22 19:35:00,2014-08-22 21:31:00,2014-08-22 23:31:00
120,NYA,2014-08-23 13:05:00,2014-08-23 16:01:00,2014-08-23 11:35:00,2014-08-23 13:35:00,2014-08-23 15:31:00,2014-08-23 17:31:00
121,NYA,2014-08-24 19:05:00,2014-08-24 22:01:00,2014-08-24 17:35:00,2014-08-24 19:35:00,2014-08-24 21:31:00,2014-08-24 23:31:00
122,NYN,2014-08-26 19:10:00,2014-08-26 22:06:00,2014-08-26 17:40:00,2014-08-26 19:40:00,2014-08-26 21:36:00,2014-08-26 23:36:00
123,NYN,2014-08-27 19:10:00,2014-08-27 22:06:00,2014-08-27 17:40:00,2014-08-27 19:40:00,2014-08-27 21:36:00,2014-08-27 23:36:00
124,NYN,2014-08-28 19:10:00,2014-08-28 22:06:00,2014-08-28 17:40:00,2014-08-28 19:40:00,2014-08-28 21:36:00,2014-08-28 23:36:00
125,NYN,2014-08-29 19:10:00,2014-08-29 22:06:00,2014-08-29 17:40:00,2014-08-29 19:40:00,2014-08-29 21:36:00,2014-08-29 23:36:00
126,NYN,2014-08-30 19:10:00,2014-08-30 22:06:00,2014-08-30 17:40:00,2014-08-30 19:40:00,2014-08-30 21:36:00,2014-08-30 23:36:00
127,NYN,2014-08-31 13:10:00,2014-08-31 16:06:00,2014-08-31 11:40:00,2014-08-31 13:40:00,2014-08-31 15:36:00,2014-08-31 17:36:00
128,NYA,2014-09-02 19:05:00,2014-09-02 22:01:00,2014-09-02 17:35:00,2014-09-02 19:35:00,2014-09-02 21:31:00,2014-09-02 23:31:00
129,NYA,2014-09-03 19:05:00,2014-09-03 22:01:00,2014-09-03 17:35:00,2014-09-03 19:35:00,2014-09-03 21:31:00,2014-09-03 23:31:00
130,NYA,2014-09-04 19:05:00,2014-09-04 22:01:00,2014-09-04 17:35:00,2014-09-04 19:35:00,2014-09-04 21:31:00,2014-09-04 23:31:00
131,NYA,2014-09-05 19:05:00,2014-09-05 22:01:00,2014-09-05 17:35:00,2014-09-05 19:35:00,2014-09-05 21:31:00,2014-09-05 23:31:00
132,NYA,2014-09-06 13:05:00,2014-09-06 16:01:00,2014-09-06 11:35:00,2014-09-06 13:35:00,2014-09-06 15:31:00,2014-09-06 17:31:00
133,NYA,2014-09-07 13:05:00,2014-09-07 16:01:00,2014-09-07 11:35:00,2014-09-07 13:35:00,2014-09-07 15:31:00,2014-09-07 17:31:00
134,NYN,2014-09-08 19:10:00,2014-09-08 22:06:00,2014-09-08 17:40:00,2014-09-08 19:40:00,2014-09-08 21:36:00,2014-09-08 23:36:00
135,NYA,2014-09-09 19:05:00,2014-09-09 22:01:00,2014-09-09 17:35:00,2014-09-09 19:35:00,2014-09-09 21:31:00,2014-09-09 23:31:00
136,NYN,2014-09-09 19:10:00,2014-09-09 22:06:00,2014-09-09 17:40:00,2014-09-09 19:40:00,2014-09-09 21:36:00,2014-09-09 23:36:00
137,NYA,2014-09-10 19:05:00,2014-09-10 22:01:00,2014-09-10 17:35:00,2014-09-10 19:35:00,2014-09-10 21:31:00,2014-09-10 23:31:00
138,NYN,2014-09-10 19:10:00,2014-09-10 22:06:00,2014-09-10 17:40:00,2014-09-10 19:40:00,2014-09-10 21:36:00,2014-09-10 23:36:00
139,NYA,2014-09-11 19:05:00,2014-09-11 22:01:00,2014-09-11 17:35:00,2014-09-11 19:35:00,2014-09-11 21:31:00,2014-09-11 23:31:00
140,NYN,2014-09-11 19:10:00,2014-09-11 22:06:00,2014-09-11 17:40:00,2014-09-11 19:40:00,2014-09-11 21:36:00,2014-09-11 23:36:00
141,NYN,2014-09-12 19:10:00,2014-09-12 22:06:00,2014-09-12 17:40:00,2014-09-12 19:40:00,2014-09-12 21:36:00,2014-09-12 23:36:00
142,NYN,2014-09-13 19:10:00,2014-09-13 22:06:00,2014-09-13 17:40:00,2014-09-13 19:40:00,2014-09-13 21:36:00,2014-09-13 23:36:00
143,NYN,2014-09-14 13:10:00,2014-09-14 16:06:00,2014-09-14 11:40:00,2014-09-14 13:40:00,2014-09-14 15:36:00,2014-09-14 17:36:00
144,NYN,2014-09-15 19:10:00,2014-09-15 22:06:00,2014-09-15 17:40:00,2014-09-15 19:40:00,2014-09-15 21:36:00,2014-09-15 23:36:00
145,NYN,2014-09-16 19:10:00,2014-09-16 22:06:00,2014-09-16 17:40:00,2014-09-16 19:40:00,2014-09-16 21:36:00,2014-09-16 23:36:00
146,NYN,2014-09-17 19:10:00,2014-09-17 22:06:00,2014-09-17 17:40:00,2014-09-17 19:40:00,2014-09-17 21:36:00,2014-09-17 23:36:00
147,NYA,2014-09-18 19:05:00,2014-09-18 22:01:00,2014-09-18 17:35:00,2014-09-18 19:35:00,2014-09-18 21:31:00,2014-09-18 23:31:00
148,NYA,2014-09-19 19:05:00,2014-09-19 22:01:00,2014-09-19 17:35:00,2014-09-19 19:35:00,2014-09-19 21:31:00,2014-09-19 23:31:00
149,NYA,2014-09-20 19:05:00,2014-09-20 22:01:00,2014-09-20 17:35:00,2014-09-20 19:35:00,2014-09-20 21:31:00,2014-09-20 23:31:00
150,NYA,2014-09-21 13:05:00,2014-09-21 16:01:00,2014-09-21 11:35:00,2014-09-21 13:35:00,2014-09-21 15:31:00,2014-09-21 17:31:00
151,NYA,2014-09-22 19:05:00,2014-09-22 22:01:00,2014-09-22 17:35:00,2014-09-22 19:35:00,2014-09-22 21:31:00,2014-09-22 23:31:00
152,NYA,2014-09-23 19:05:00,2014-09-23 22:01:00,2014-09-23 17:35:00,2014-09-23 19:35:00,2014-09-23 21:31:00,2014-09-23 23:31:00
153,NYA,2014-09-24 13:05:00,2014-09-24 16:01:00,2014-09-24 11:35:00,2014-09-24 13:35:00,2014-09-24 15:31:00,2014-09-24 17:31:00
154,NYA,2014-09-25 19:05:00,2014-09-25 22:01:00,2014-09-25 17:35:00,2014-09-25 19:35:00,2014-09-25 21:31:00,2014-09-25 23:31:00
155,NYN,2014-09-26 19:10:00,2014-09-26 22:06:00,2014-09-26 17:40:00,2014-09-26 19:40:00,2014-09-26 21:36:00,2014-09-26 23:36:00
156,NYN,2014-09-27 19:10:00,2014-09-27 22:06:00,2014-09-27 17:40:00,2014-09-27 19:40:00,2014-09-27 21:36:00,2014-09-27 23:36:00
157,NYN,2014-09-28 13:10:00,2014-09-28 16:06:00,2014-09-28 11:40:00,2014-09-28 13:40:00,2014-09-28 15:36:00,2014-09-28 17:36:00
158,NYA,2015-04-06 13:05:00,2015-04-06 16:01:00,2015-04-06 11:35:00,2015-04-06 13:35:00,2015-04-06 15:31:00,2015-04-06 17:31:00
159,NYA,2015-04-08 19:05:00,2015-04-08 22:01:00,2015-04-08 17:35:00,2015-04-08 19:35:00,2015-04-08 21:31:00,2015-04-08 23:31:00
160,NYA,2015-04-09 19:05:00,2015-04-09 22:01:00,2015-04-09 17:35:00,2015-04-09 19:35:00,2015-04-09 21:31:00,2015-04-09 23:31:00
161,NYA,2015-04-10 19:05:00,2015-04-10 22:01:00,2015-04-10 17:35:00,2015-04-10 19:35:00,2015-04-10 21:31:00,2015-04-10 23:31:00
162,NYA,2015-04-11 13:05:00,2015-04-11 16:01:00,2015-04-11 11:35:00,2015-04-11 13:35:00,2015-04-11 15:31:00,2015-04-11 17:31:00
163,NYA,2015-04-12 19:05:00,2015-04-12 22:01:00,2015-04-12 17:35:00,2015-04-12 19:35:00,2015-04-12 21:31:00,2015-04-12 23:31:00
164,NYN,2015-04-13 13:10:00,2015-04-13 16:06:00,2015-04-13 11:40:00,2015-04-13 13:40:00,2015-04-13 15:36:00,2015-04-13 17:36:00
